objectid,pre_dir_tx,pre_type_t,name_tx,suf_type_t,suf_dir_tx,suffix_tx,full_name,new_nm_id,globalid,str_nm_id,usps_name
459031,,,ORTON,ST,,,ORTON ST,863169,f03c69a8-725e-4d12-aef8-c37a67410c1f,1491,ORTON ST
459032,,,OSCEOLA,AVE,,,OSCEOLA AVE,802369,d65f9773-e56d-4636-8282-521654dee2fa,1493,OSCEOLA AVE
459033,,,DEVONSHIRE,CT,,,DEVONSHIRE CT,664388,0e07b49a-f1a7-497e-b082-fa4cd2cc6c51,,DEVONSHIRE CT
459034,,,ANSON,RD,,,ANSON RD,751443,6f5bc1b6-3731-40b9-9ee7-db70889c01e5,68,ANSON ST
459035,,,STAFFORD,ST,,,STAFFORD ST,621116,3c31ef8e-bd4e-4616-8406-517cfc349776,1830,STAFFORD ST
459036,,,STANLEY,RD,,,STANLEY RD,751396,38afe06e-e6fd-4f4e-b4fb-db93e2724029,1832,STANLEY RD
459037,,,STANTON,ST,,,STANTON ST,791253,66a178a2-f41d-463a-a39e-a66e9d7c46f5,1833,STANTON ST
459038,,,STATE,RD,,,STATE RD,780483,151123e6-5706-482d-b941-bfa818e801b6,1835,STATE RD
459039,,,STATE,ST,,,STATE ST,746234,ecab9b11-4b8f-4ca0-8586-8aedeb192051,1836,STATE ST
459040,,,STEARNS,ST,,,STEARNS ST,606125,e7bafe5d-0c1d-464e-85a9-73b873203daa,1837,STEARNS ST
459041,,,STEBBINS,ST,,,STEBBINS ST,754104,0334dce7-42bb-40b0-b2b7-38e8edc11411,1838,STEBBINS ST
459042,,,STEELE,ST,,,STEELE ST,749082,a3aa52ed-0188-47c8-8bc4-4963935cf59f,1839,STEELE ST
459043,,,STEPHEN,AVE,,,STEPHEN AVE,874112,1697ce0b-8621-472b-bd2a-5d2d4962a227,1840,STEPHEN AVE
459044,,,STETSON,RD,,,STETSON RD,701391,af400835-9eff-4a56-9240-132d108862dd,1842,STETSON RD
459045,,,STEVENS,RD,,,STEVENS RD,670178,557f3f72-7acf-49f5-9ba0-634ce29a7d34,1843,STEVENS RD
459046,,,STOCKHOLM,ST,,,STOCKHOLM ST,752089,6793c3d2-2b95-4961-b3bf-ba1c60a64923,1845,STOCKHOLM ST
459047,,,STOCKTON,ST,,,STOCKTON ST,766139,45798634-9332-4bfb-b39d-65e93adf674c,1846,STOCKTON ST
459048,,,STODDARD,DR,,,STODDARD DR,879175,c9fa5612-3cdd-4520-94b0-05737d1a7b83,1847,STODDARD DR
459049,,,STONE,ST,,,STONE ST,750152,8070f474-4d28-4e1c-9726-66ffa05603a5,1848,STONE ST
459050,,,STONEGATE,LN,,,STONEGATE LN,675375,073c654c-fdbe-45f4-8260-480fb660dc52,1849,STONEGATE LN
459051,,,STONEHAM,RD,,,STONEHAM RD,837131,7c869346-6767-416c-b587-2639ad4d9178,1850,STONEHAM RD
459052,,,STONEHOUSE,LN,,,STONEHOUSE LN,616308,61450e2b-9c2e-433b-96e2-67f21369c3b5,1851,STONEHOUSE LN
459053,,,STONELAND,RD,,,STONELAND RD,676147,b9a03e0c-2da9-47ad-9b5b-e4ed4767d507,1852,STONELAND RD
459054,,,STONELEIGH,RD,,,STONELEIGH RD,710411,c046fee5-409e-4986-b890-881eb29ea8c7,1853,STONELEIGH RD
459055,,,STOWELL,AVE,,,STOWELL AVE,733339,9b66e68f-ffd8-4b46-8c8e-dc5e56bddef7,1855,STOWELL AVE
459056,,,STRASBURG,RD,,,STRASBURG RD,754059,9431092c-5abb-4493-919e-55c61b150e37,1856,STRASBURG RD
459057,,,STRATFIELD,ST,,,STRATFIELD ST,826189,54a492b9-af22-4900-92b6-15e5396a17d6,1857,STRATFIELD ST
